Vehicle_Type,Vehicle_Route_Name,Latitude,Longitude,ID,Waypoint_ID
JEEP,SANTA MARIA-SAMPOL_2.1,14.81996200,120.95898120,TP049,SANTA MARIA-SAMPOL_2.1_TP049
JEEP,SANTA MARIA-SAMPOL_2.1,14.81994000,120.95930000,TP050,SANTA MARIA-SAMPOL_2.1_TP050
JEEP,SANTA MARIA-SAMPOL_2.1,14.81993000,120.95938000,TP051,SANTA MARIA-SAMPOL_2.1_TP051
JEEP,SANTA MARIA-SAMPOL_2.1,14.81992000,120.96023000,TP052,SANTA MARIA-SAMPOL_2.1_TP052
JEEP,SANTA MARIA-SAMPOL_2.1,14.81991000,120.96031000,TP053,SANTA MARIA-SAMPOL_2.1_TP053
JEEP,SANTA MARIA-SAMPOL_2.1,14.81990000,120.96121000,TP054,SANTA MARIA-SAMPOL_2.1_TP054
JEEP,SANTA MARIA-SAMPOL_2.1,14.81989880,120.96121480,TP055,SANTA MARIA-SAMPOL_2.1_TP055
JEEP,SANTA MARIA-SAMPOL_2.1,14.81932000,120.96104000,TP056,SANTA MARIA-SAMPOL_2.1_TP056
JEEP,SANTA MARIA-SAMPOL_2.1,14.81865000,120.96088000,TP057,SANTA MARIA-SAMPOL_2.1_TP057
JEEP,SANTA MARIA-SAMPOL_2.1,14.81865040,120.96087980,TP058,SANTA MARIA-SAMPOL_2.1_TP058
JEEP,SANTA MARIA-SAMPOL_2.1,14.81877000,120.96110000,TP059,SANTA MARIA-SAMPOL_2.1_TP059
JEEP,SANTA MARIA-SAMPOL_2.1,14.81888000,120.96130000,TP060,SANTA MARIA-SAMPOL_2.1_TP060
JEEP,SANTA MARIA-SAMPOL_2.1,14.81892000,120.96138000,TP061,SANTA MARIA-SAMPOL_2.1_TP061
JEEP,SANTA MARIA-SAMPOL_2.1,14.81892000,120.96139000,TP062,SANTA MARIA-SAMPOL_2.1_TP062
JEEP,SANTA MARIA-SAMPOL_2.1,14.81914000,120.96183000,TP063,SANTA MARIA-SAMPOL_2.1_TP063
JEEP,SANTA MARIA-SAMPOL_2.1,14.81921000,120.96206000,TP064,SANTA MARIA-SAMPOL_2.1_TP064
JEEP,SANTA MARIA-SAMPOL_2.1,14.81928000,120.96234000,TP065,SANTA MARIA-SAMPOL_2.1_TP065
JEEP,SANTA MARIA-SAMPOL_2.1,14.81935000,120.96258000,TP066,SANTA MARIA-SAMPOL_2.1_TP066
JEEP,SANTA MARIA-SAMPOL_2.1,14.81934910,120.96258130,TP067,SANTA MARIA-SAMPOL_2.1_TP067
JEEP,SANTA MARIA-SAMPOL_2.1,14.81940000,120.96259000,TP068,SANTA MARIA-SAMPOL_2.1_TP068
JEEP,SANTA MARIA-SAMPOL_2.1,14.81980000,120.96262000,TP069,SANTA MARIA-SAMPOL_2.1_TP069
JEEP,SANTA MARIA-SAMPOL_2.1,14.81998000,120.96266000,TP070,SANTA MARIA-SAMPOL_2.1_TP070
JEEP,SANTA MARIA-SAMPOL_2.1,14.82059000,120.96280000,TP071,SANTA MARIA-SAMPOL_2.1_TP071
JEEP,SANTA MARIA-SAMPOL_2.1,14.82120000,120.96298000,TP072,SANTA MARIA-SAMPOL_2.1_TP072
JEEP,SANTA MARIA-SAMPOL_2.1,14.82192000,120.96312000,TP073,SANTA MARIA-SAMPOL_2.1_TP073
JEEP,SANTA MARIA-SAMPOL_2.1,14.82209000,120.96312000,TP074,SANTA MARIA-SAMPOL_2.1_TP074
JEEP,SANTA MARIA-SAMPOL_2.1,14.82248000,120.96312000,TP075,SANTA MARIA-SAMPOL_2.1_TP075
JEEP,SANTA MARIA-SAMPOL_2.1,14.82247920,120.96311520,TP076,SANTA MARIA-SAMPOL_2.1_TP076
JEEP,SANTA MARIA-SAMPOL_2.1,14.82242000,120.96369000,TP077,SANTA MARIA-SAMPOL_2.1_TP077
JEEP,SANTA MARIA-SAMPOL_2.1,14.82239000,120.96436000,TP078,SANTA MARIA-SAMPOL_2.1_TP078
JEEP,SANTA MARIA-SAMPOL_2.1,14.82236000,120.96469000,TP079,SANTA MARIA-SAMPOL_2.1_TP079
JEEP,SANTA MARIA-SAMPOL_2.1,14.82235000,120.96547000,TP080,SANTA MARIA-SAMPOL_2.1_TP080
JEEP,SANTA MARIA-SAMPOL_2.1,14.82239000,120.96588000,TP081,SANTA MARIA-SAMPOL_2.1_TP081
JEEP,SANTA MARIA-SAMPOL_2.1,14.82243000,120.96623000,TP082,SANTA MARIA-SAMPOL_2.1_TP082
JEEP,SANTA MARIA-SAMPOL_2.1,14.82250000,120.96658000,TP083,SANTA MARIA-SAMPOL_2.1_TP083
JEEP,SANTA MARIA-SAMPOL_2.1,14.82263000,120.96726000,TP084,SANTA MARIA-SAMPOL_2.1_TP084
JEEP,SANTA MARIA-SAMPOL_2.1,14.82266000,120.96740000,TP085,SANTA MARIA-SAMPOL_2.1_TP085
JEEP,SANTA MARIA-SAMPOL_2.1,14.82265860,120.96739770,TP086,SANTA MARIA-SAMPOL_2.1_TP086
JEEP,SANTA MARIA-SAMPOL_2.1,14.82268000,120.96754000,TP087,SANTA MARIA-SAMPOL_2.1_TP087
JEEP,SANTA MARIA-SAMPOL_2.1,14.82274000,120.96802000,TP088,SANTA MARIA-SAMPOL_2.1_TP088
JEEP,SANTA MARIA-SAMPOL_2.1,14.82286000,120.96861000,TP089,SANTA MARIA-SAMPOL_2.1_TP089
JEEP,SANTA MARIA-SAMPOL_2.1,14.82291000,120.96878000,TP090,SANTA MARIA-SAMPOL_2.1_TP090
